Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Código;Nº Cámara;Cámara;LONGITUD;LATITUD;NOMBRE
439654,6834;4473220,409;43434;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DEL;125; Entrada;1.1 e;1;-3.7111951;40.4074126;TOLEDO, CALLE, DEL, 125
439658,4057;4473220,854;43434;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;125; Entrada;1.2 e;2;-3.7111511;40.4074169;TOLEDO, CALLE, DE, 125
439795,4257;4473105,839;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;S/N; Entrada;2 e;3;-3.7095255;40.4063907;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, S/N
439924,3458;4473071,231;43434;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;5; Entrada;3 e;4;-3.708003;40.4060882;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, 5
440363,6803;4473006,755;43434;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;S/N; Entrada;4 e;5;-3.7028198;40.405539;EMBAJADORES, CALLE, DE, S/N
440646,3223;4473056,076;43434;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;25; Entrada;5 e;6;-3.6994937;40.4060035;VALENCIA, CALLE, DE, 25
440951,5307;4473204,451;43434;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43; Entrada;6 e;7;-3.6959107;40.4073618;ARGUMOSA, CALLE, DE, 43
441223,2807;4473436,201;43434;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127; Entrada;7.1 e;8;-3.6927297;40.4094688;ATOCHA, CALLE, DE, 127
441221,7807;4473433,451;43434;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127; Entrada;7.2 e;9;-3.6927471;40.4094439;ATOCHA, CALLE, DE, 127
441147,239;4473784,909;43434;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;1; Entrada;8 e;10;-3.6936581;40.4126048;PLATERIA DE MARTINEZ, PLAZA, DE LA, 1
441137,739;4473799,159;43434;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;3; Entrada;9 e;11;-3.6937713;40.4127325;PLATERIA DE MARTINEZ, PLAZA, DE LA, 3
441110,3223;4473933,159;43434;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;51; Entrada;12 e;12;-3.6941069;40.4139377;LOPE DE VEGA, CALLE, DE, 51
441042,5723;4474107,993;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6; Entrada;11.1 e;13;-3.6949216;40.4155078;CORTES, PLAZA, DE LAS, 6
441041,239;4474105,326;43434;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6; Entrada;11.2 e;14;-3.694937;40.4154838;CORTES, PLAZA, DE LAS, 6
441067,489;4474240,493;43434;01  CENTRO;01-03 CORTES;ZORRILLA, CALLE, DE;31; Entrada;12 e;15;-3.6946402;40.4167032;ZORRILLA, CALLE, DE, 31
441088,8223;4474328,243;43434;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;29; Entrada;13 e;16;-3.6943969;40.4174952;LOS MADRAZO, CALLE, DE, 29
441102,1557;4474525,409;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51; Entrada;14.1 e;17;-3.6942579;40.4192724;ALCALA, CALLE, DE, 51
441102,489;4474522,576;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51; Entrada;14.2;18;-3.6942538;40.4192469;ALCALA, CALLE, DE, 51
441102,5723;4474519,993;43434;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51; Entrada;14.3 e;19;-3.6942526;40.4192236;ALCALA, CALLE, DE, 51
