COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
1;Contenedor de ropa;;;;Calle  Santa Cruz de Marcenado, 21;;Cantón de Limpieza;MADRID;Calle;;Santa Cruz de Marcenado;número;21;;;01;Centro;439719,57;4475611,35;40.428952;-3.7106636;Todo el dia;;;;;
2;Contenedor de ropa;;;;Plaza  Campillo del Mundo Nuevo, 3;;Mercadillo en la vía pública de Parque de la Cornisa ;MADRID;Plaza;;Campillo del Mundo Nuevo;número;3;;;01;Centro;439926,67;4473116,92;40.40645;-3.70798;Martes y Sábados 9:00 a 14:00;;;;;
3;Contenedor de ropa;;;;Calle  Barceló, 6;;Punto limpio de proximidad - Mercado de Barceló;MADRID;Calle;;Barceló;número;6;;;01;Centro;440719,17;4475360,72;40.42677;-3.69885;Todos los días, 24 horas;;;;;
4;Contenedor de ropa;;;;Calle  Casino, 3;;Punto limpio de proximidad - Parque Casino de la Reina;MADRID;Calle;;Casino;número;3;;;01;Centro;440177,22;4473143,78;40.40676;-3.70503;Lunes a Viernes 8:30 a 21:30. Sábados 10:00 a 15:00 y de 16:00 a 21:30.;;;;;
5;Contenedor de ropa;;;;Calle  Pradillo, 33;;"Centro Deportivo Municipal ""Pradillo""";MADRID;Calle;;Pradillo;número;33;;;05;Chamartín;443039,19;4477823,43;40.449113;-3.6717244;Lunes a Viernes 9:00 a 22:45. Sábados y domingos  8:30 a 14:30;;;;;
6;Contenedor de ropa;;;;Calle  Puerto Rico, 52;;"Instalación Deportiva Municipal Básica ""Puerto Rico""";MADRID;Calle;;Puerto Rico;número;52;;;05;Chamartín;442844,05;4478937,36;40.459135;-3.6741242;Todo el dia;;;;;
7;Contenedor de ropa;;;;Avenida  Alfonso XIII (Entrada junto gasolinera), 128;;Punto Limpio Fijo;MADRID;Avenida;;Alfonso XIII (Entrada junto gasolinera);número;128;;;05;Chamartín;443406,00;4478883,97;40.458687;-3.6674913;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;;;;
8;Contenedor de ropa;;;;Glorieta  Pradera Vaquerizas, 9;;"Centro Cultural ""Alfredo Kraus""";MADRID;Glorieta;;Pradera Vaquerizas;número;9;;;08;Fuencarral-El Pardo;438843,14;4482484,86;40.490803;-3.7216524;Lunes a Sábado 9:00 a 14:00 y 16:00 a 20:30;;;;;
9;Contenedor de ropa;;;;Avenida  Monforte de Lemos, 38;;"Centro De Mayores ""La Vaguada""";MADRID;Avenida;;Monforte de Lemos;número;38;;;08;Fuencarral-El Pardo;439864,42;4481121,43;40.478599;-3.7094762;Todo el dia;;;;;
10;Contenedor de ropa;;;;Calle  Fermín Caballero, 17;;"Centro De Mayores ""Vocal Vecino  Justo Sierra""";MADRID;Calle;;Fermín Caballero;número;17;;;08;Fuencarral-El Pardo;440560,06;4481939,09;40.486018;-3.7013421;Lunes a Viernes 9:00 a 21:00. Sábados y Domingos 10:00 a 14:00 y 16:00 a 21:00;;;;;
