CODIGO CONTENEDOR;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;Longitud;Latitud;Nombre
020031CV;1;CENTRO;CALLE;CAVA ALTA;1;439938.39;4473750.03;26/09/2016;-3,7079016;40,4122042;CALLE CAVA ALTA, 1
020037CV;1;CENTRO;CALLE;HUMILLADERO;12;439728.63;4473597.10;18/02/2019;-3,7103593;40,4108114;CALLE HUMILLADERO, 12
020038CV;1;CENTRO;PLAZA;CEBADA;1;439875.25;4473637.64;26/09/2016;-3,7086352;40,4111872;PLAZA CEBADA, 1
020040CV;1;CENTRO;PLAZA;SANTO DOMINGO;16;439926.80;4474649.82;26/09/2016;-3,7081232;40,4203091;PLAZA SANTO DOMINGO, 16
020034CV;1;CENTRO;CALLE;ROSARIO;5;439436.79;4473473.61;26/09/2016;-3,7137869;40,4096777;CALLE ROSARIO, 5
020033CV;1;CENTRO;PLAZA;SAN FRANCISCO;1;439442.22;4473591.97;26/09/2016;-3,7137342;40,4107444;PLAZA SAN FRANCISCO, 1
020039CV;1;CENTRO;PLAZA;PUERTA DE MOROS;8;439702.19;4473683.76;10/10/2016;-3,7106791;40,4115901;PLAZA PUERTA DE MOROS, 8
020027CV;1;CENTRO;CALLE;ATOCHA;123;441167.34;4473468.49;24/10/2016;-3,6933919;40,4097557;CALLE ATOCHA, 123
020030CV;1;CENTRO;CALLE;PRINCESA;24;439457.86;4475433.35;21/11/2016;-3,7137251;40,4273335;CALLE PRINCESA, 24
020029CV;1;CENTRO;CALLE;GENOVA;10;441066.51;4475388.61;19/12/2016;-3,6947581;40,427046;CALLE GENOVA, 10
020088CV;1;CENTRO;CALLE;SAN BERNARDO;88;440102.01;4475595.72;12/12/2016;-3,7061472;40,4288428;CALLE SAN BERNARDO, 88
020028CV;1;CENTRO;CALLE;MIRA EL SOL;21;439993.88;4473169.30;12/09/2016;-3,7071929;40,4069767;CALLE MIRA EL SOL, 21
020156CV;1;CENTRO;CALLE;MEJIA LEQUERICA;9;440754.74;4475365.82;23/01/2017;-3,6984311;40,4268185;CALLE MEJIA LEQUERICA, 9
020036CV;1;CENTRO;PLAZA;JACINTO BENAVENTE;6;440328.71;4473998.54;28/01/2017;-3,7033249;40,414471;PLAZA JACINTO BENAVENTE, 6
020189CV;1;CENTRO;PLAZA;SANTA BARBARA;10;440901.21;4475332.02;05/02/2019;-3,6967014;40,4265244;PLAZA SANTA BARBARA, 10
020009CV;2;ARGANZUELA;PASEO;PONTONES;1;439554.46;4473115.64;10/10/2016;-3,7123662;40,4064615;PASEO PONTONES, 1
020024CV;2;ARGANZUELA;PASEO;MELANCOLICOS;49;438857.20;4472864.38;26/05/2017;-3,7205588;40,4041471;PASEO MELANCOLICOS, 49
020022CV;2;ARGANZUELA;CALLE;MORENO NIETO;20;438812.05;4473749.95;24/10/2016;-3,721176;40,4121214;CALLE MORENO NIETO, 20
020018CV;2;ARGANZUELA;PLAZA;FRANCISCO MORANO;1;439267.02;4472907.41;17/10/2016;-3,7157336;40,4045648;PLAZA FRANCISCO MORANO, 1
020006CV;2;ARGANZUELA;CALLE;TOLEDO ;134;439524.60;4472934.89;17/10/2016;-3,7127009;40,4048311;CALLE TOLEDO , 134
020005CV;2;ARGANZUELA;CALLE;SEGOVIA;65;438970.51;4473939.83;24/10/2016;-3,7193267;40,4138436;CALLE SEGOVIA, 65
020003CV;2;ARGANZUELA;CALLE;MENDEZ ALVARO;75;442265.78;4471924.97;31/10/2016;-3,6803068;40,3959278;CALLE MENDEZ ALVARO, 75
020020CV;2;ARGANZUELA;CALLE;SEBASTIAN ELCANO;44;440978.70;4472970.99;28/01/2017;-3,6955689;40,4052606;CALLE SEBASTIAN ELCANO, 44
020019CV;2;ARGANZUELA;PASEO;SANTA MARIA DE LA CABEZA;39;440837.47;4472735.71;07/11/2016;-3,6972113;40,4031311;PASEO SANTA MARIA DE LA CABEZA, 39
020017CV;2;ARGANZUELA;PASEO;DELICIAS;44;441121.76;4472709.42;31/10/2016;-3,6938588;40,4029144;PASEO DELICIAS, 44
020016CV;2;ARGANZUELA;CALLE;FERROCARRIL;2;441096.93;4472487.79;07/11/2016;-3,6941309;40,4009161;CALLE FERROCARRIL, 2
020014CV;2;ARGANZUELA;PASEO;DELICIAS;31;441159.33;4472851.19;14/11/2016;-3,6934292;40,4041942;PASEO DELICIAS, 31
020010CV;2;ARGANZUELA;CALLE;GENERAL LACY;26;441373.24;4472707.51;28/01/2017;-3,6908953;40,402915;CALLE GENERAL LACY, 26
020002CV;2;ARGANZUELA;CALLE;FERROCARRIL;22;440914.06;4472496.89;31/10/2016;-3,6962866;40,4009851;CALLE FERROCARRIL, 22
020021CV;2;ARGANZUELA;PASEO;SANTA MARIA DE LA CABEZA;88;440415.32;4472172.17;19/12/2016;-3,7021331;40,3980243;PASEO SANTA MARIA DE LA CABEZA, 88
020013CV;2;ARGANZUELA;CALLE;CARMEN COBEÑA;22;439594.75;4472414.32;05/12/2016;-3,7118248;40,4001466;CALLE CARMEN COBEÑA, 22
020011CV;2;ARGANZUELA;GLORIETA;SANTA MARIA DE LA CABEZA;4;440716.63;4472510.66;05/12/2016;-3,6986143;40,4010951;GLORIETA SANTA MARIA DE LA CABEZA, 4
020008CV;2;ARGANZUELA;CALLE;GENERAL PALANCA;18;440721.14;4472333.08;12/12/2016;-3,6985446;40,3994957;CALLE GENERAL PALANCA, 18
020001CV;2;ARGANZUELA;CALLE;JAIME EL CONQUISTADOR;29;440741.96;4471837.36;05/12/2016;-3,6982532;40,3950315;CALLE JAIME EL CONQUISTADOR, 29
020007CV;2;ARGANZUELA;CALLE;TOLEDO ;155;439500.65;4472779.21;24/10/2016;-3,7129683;40,4034269;CALLE TOLEDO , 155
020004CV;2;ARGANZUELA;CALLE;MENDEZ ALVARO;20;441486.88;4472825.62;31/10/2016;-3,689567;40,4039869;CALLE MENDEZ ALVARO, 20
020012CV;2;ARGANZUELA;PASEO;ACACIAS;1;440311.41;4472936.42;31/10/2016;-3,7034291;40,4049016;PASEO ACACIAS, 1
020032CV;2;ARGANZUELA;PASEO;IMPERIAL;2;439051.80;4473579.47;31/10/2016;-3,7183341;40,4106033;PASEO IMPERIAL, 2
020023CV;2;ARGANZUELA;CALLE;GUILLERMO DE OSMA;16;440797.17;4471706.03;09/01/2017;-3,6975904;40,3938523;CALLE GUILLERMO DE OSMA, 16
020015CV;2;ARGANZUELA;CALLE;GUILLERMO DE OSMA;11;440912.01;4471711.57;09/01/2017;-3,6962379;40,3939104;CALLE GUILLERMO DE OSMA, 11
020173CV;2;ARGANZUELA;CALLE;ARIEL;4;442398.90;4471679.67;28/01/2017;-3,6787161;40,3937272;CALLE ARIEL, 4
020035CV;2;ARGANZUELA;PASEO;ACACIAS;21;440120.14;4472845.67;28/01/2017;-3,7056746;40,4040704;PASEO ACACIAS, 21
020092CV;2;ARGANZUELA;CALLE;EROS;7;442470.62;4471599.19;28/01/2017;-3,6778638;40,3930071;CALLE EROS, 7
020123CV;3;RETIRO;CALLE;ALCALDE SAINZ DE BARANDA;4;442493.93;4474264.41;12/09/2016;-3,6778299;40,4170185;CALLE ALCALDE SAINZ DE BARANDA, 4
020132CV;3;RETIRO;CALLE;IBIZA;20;442637.47;4474401.28;12/09/2016;-3,6761505;40,4182614;CALLE IBIZA, 20
020131CV;3;RETIRO;CALLE;IBIZA;74;443201.61;4474362.44;10/10/2016;-3,6694977;40,4179502;CALLE IBIZA, 74
020129CV;3;RETIRO;CALLE;ALCALDE SAINZ DE BARANDA;67;443243.31;4474207.86;10/10/2016;-3,6689924;40,4165605;CALLE ALCALDE SAINZ DE BARANDA, 67
020136CV;3;RETIRO;PASEO;REINA CRISTINA;36;442336.17;4473209.80;17/10/2016;-3,6795938;40,4075071;PASEO REINA CRISTINA, 36
