Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
1232;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;GENOVA;CALLE;27;JTO BANCO B.N.P.;C/ SAGASTA;GENOVA, CALLE Nº27 JTO BANCO B.N.P. C/ SAGASTA;441410,2;4475464,5;SI;21/N23/N25/N26/;441300,79;4475257,02;-3.6919843;40.4258771
5691;;MARQUESINA MOD XXI 4-M STD;SAN BLAS;CASTILLO DE UCLES;CALLE;49;-;HNOS GARCIA NOBLEJAS;CASTILLO DE UCLES, CALLE Nº49  HNOS GARCIA NOBLEJAS;447268,1563;4476152;SI;109/;447158,72;4475944,44;-3.6229884;40.4324625
1229;;MARQUESINA MOD XXI 5-M STD;CENTRO;GENOVA;CALLE;6;JTO CAJA POSTAL;PZA DE COLON;GENOVA, CALLE Nº6 JTO CAJA POSTAL PZA DE COLON;441146,7;4475616,1;SI;21/37/N23/;441037,29;4475408,62;-3.6951044;40.4272242
1384;;MARQUESINA MOD XXI 4-M REDUCIDA ;CHAMBERI;BRAVO MURILLO;CALLE;29;ESQ C/ DONOSO CORTES;GTA QUEVEDO;BRAVO MURILLO, CALLE Nº29 ESQ C/ DONOSO CORTES GTA QUEVEDO;440367,1;4476633,3;SI;37/149/;440257,7;4476425,83;-3.7043899;40.436332
1325;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;ALBERTO AGUILERA;CALLE;26;-;C/ PRINCESA;ALBERTO AGUILERA, CALLE Nº26 - C/ PRINCESA;439878,1;4475948,9;SI;21/M2/;439768,7;4475741,44;-3.7100901;40.4301315
736;;MARQUESINA MOD XXI 5-M STD;CENTRO;PRINCESA;CALLE;0;ANT  C/ ALBERTO AGUILERA;PZA. MONCLOA;PRINCESA, CALLE Nº0 ANTES  C/ ALBERTO AGUILERA PZA. MONCLOA;439390,7;4475960,6;SI;1/44/133/C1/N21/CT1/;439281,3;4475753,14;-3.715837;40.4302014
1228;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;SAGASTA;CALLE;19;ANT DE C/ FCO. DE ROJAS;GTA DE BILBAO;SAGASTA, CALLE Nº19 ANTES DE C/ FCO. DE ROJAS GTA DE BILBAO;440818,3;4475755,3;SI;3/21/;440708,89;4475547,83;-3.6989886;40.4284549
2967;;MARQUESINA MOD XXI 4-M STD;CENTRO;CARRANZA;CALLE;7;-;SAGASTA;CARRANZA, CALLE Nº3 - SAGASTA;440474,6;4475821,4;SI;21/147/;440365,2;4475613,93;-3.7030463;40.4290258
1224;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;ALBERTO AGUILERA;CALLE;10;FTE Nº 3;C/ PRINCESA;ALBERTO AGUILERA, CALLE Nº10 FTE Nº 3 C/ PRINCESA;440104,5;4475917,2;SI;21/;439995,1;4475709,73;-3.7074182;40.4298622
1434;;MARQUESINA MOD XXI 5-M STD;RETIRO;DR. ESQUERDO;CALLE;173;ESQ PZA CONDE CASAL;PZA MANUEL BECERRA;DR. ESQUERDO, CALLE Nº173 ESQ PZA CONDE CASAL PZA MANUEL BECERRA;443260,937;4473374,842;SI;32/56/143/156/;443151,51;4473167,34;-3.6699815;40.4071807
1433;;MARQUESINA MOD XXI 5-M STD;RETIRO;DR. ESQUERDO;CALLE;126;FTE AL Nº 171;PZA.CONDE CASAL;DR. ESQUERDO, CALLE Nº126 FRENTE AL Nº 171 PZA.CONDE CASAL;443230,9;4473397,5;SI;56/143/156/;443121,47;4473190;-3.6703375;40.4073827
1432;;MARQUESINA MOD XXI 4-M STD;RETIRO;DR. ESQUERDO;CALLE;151;FTE Nº 100;MANUEL BECERRA;DR. ESQUERDO, CALLE Nº151 FTE Nº 100 MANUEL BECERRA;443288,8;4473764,2;SI;56/143/156/;443179,37;4473556,7;-3.6696879;40.4106901
150;;MARQUESINA MOD XXI 5-M STD;SALAMANCA;DR. ESQUERDO;CALLE;0;DESP  C/ DUQUE DE SESTO;PZA.CONDE CASAL;DR. ESQUERDO, CALLE Nº0 DESP  C/ DUQUE DE SESTO PZA.CONDE CASAL;443345,5;4475011,3;SI;2/30/56/71/143/156/E4/;443236,08;4474803,8;-3.6691308;40.4219286
786;;MARQUESINA MOD XXI 4-M STD;SALAMANCA;FRANCISCO SILVELA;CALLE;53;-;PZA DE ROMA;FRANCISCO SILVELA, CALLE Nº53 - PZA DE ROMA;442955,4;4476326,7;SI;12/C1/;442845,98;4476119,2;-3.6738473;40.4337516
2437;;MARQUESINA MOD XXI 5-M STD;CARABANCHEL;SETUBAL;PZA;0;FTE Nº 16;AV OPORTO;SETUBAL, PZA Nº0 FTE Nº 16  AV OPORTO;438643,1;4470802,1;SI;47/108/;438533,69;4470594,63;-3.7241519;40.3836764
662;7593;MARQUESINA MOD XXI 5-M STD;CARABANCHEL;POBLADOS (DE LOS);AV;0;FTE PARQUE EUGENIA DE MONTIJO;N-401;POBLADOS (DE LOS), AVD Nº0 FTE PARQUE EUGENIA DE MONTIJO N-401;435940,3;4470233,5;SI;121/131/139/482/485/491/492/493/N802/N803/N804/;435830,9;4470026,06;-3.7559344;40.3783507
2698;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;JOAQUIN COSTA;CALLE;28;ESQ C/VELAZQUEZ;FRANCISCO SILVELA;JOAQUIN COSTA, CALLE Nº28 ESQ C/VELAZQUEZ FRANCISCO SILVELA;442178,4;4477316,1;SI;C1/;442068,99;4477108,61;-3.6830976;40.442611
419;;MARQUESINA MOD XXI 4-M STD;CHAMARTIN;JOAQUIN COSTA;CALLE;27;-;PASEO DE CASTELLANA;JOAQUIN COSTA, CALLE Nº27 - PASEO DE CASTELLANA;442642,2;4478073,2;SI;7/C2/;442532,79;4477865,71;-3.6776975;40.4494635
2696;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;RAIMUNDO FDEZ VILLAVERDE;CALLE;54;ESQ Pº CASTELLANA;Pº CASTELLANA;RAIMUNDO FDEZ VILLAVERDE,CALLE Nº54  ESQ Pº CASTELLANA Pº CASTELLANA;441411,3;4477710,2;SI;C1/;441301,9;4477502,72;-3.6921786;40.4461075
2694;;MARQUESINA MOD XXI 5-M STD;TETUAN;RAIMUNDO FDEZ VILLAVERDE;CALLE;43;ANT GRAL. MOSCARDO;CUATRO CAMINOS;RAIMUNDO FDEZ VILLAVERDE,CALLE Nº43 ANTES GRAL. MOSCARDO CUATRO CAMINOS;440923,7;4477779,7;SI;149/C2/;440814,3;4477572,23;-3.6979345;40.4466991
2693;;MARQUESINA MOD XXI 4-M STD;CHAMBERI;RAIMUNDO FDEZ VILLAVERDE;CALLE;32;ANT C/ PONZANO;Pº CASTELLANA;RAIMUNDO FDEZ VILLAVERDE,CALLE Nº32 ANT C/ PONZANO Pº CASTELLANA;440741,7;4477759,6;SI;149/C1/;440632,3;4477552,13;-3.7000787;40.446505
4663;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;ANDALUCIA;AV;0;ANT AV DE LA  FELICIDAD;M - 30;ANDALUCIA, AV Nº0 ANTES AV DE LA  FELICIDAD M - 30;441242,8;4467991,6;SI;22/59/79/85/              ;441133,34;4467784,11;-3.6932674;40.3585453
1418;;MARQUESINA MOD XXI 5-M STD;TETUAN;REINA VICTORIA;AV;24;JTO A CRUZ ROJA;C/ BEATRIZ BOBADILLA;REINA VICTORIA, AVD Nº24 JTO A CRUZ ROJA C/ BEATRIZ BOBADILLA;440075,2;4477845,2;SI;45/127/C2/F/;439965,81;4477637,74;-3.7079457;40.4472284
1415;;MARQUESINA MOD XXI 5-M STD;CHAMBERI;REINA VICTORIA;AV;41;ESQ C/ GENERAL IBAÑEZ IBERO;CUATRO CAMINOS;REINA VICTORIA, AVD Nº41 ESQ C/ GENERAL IBAÑEZ IBERO CUATRO CAMINOS;439808,5;4477771,4;SI;45/C1/F/;439699,11;4477563,94;-3.7110834;40.4465443
3198;;MARQUESINA MOD XXI 4-M REDUCIDA;VILLAVERDE;UNAMINIDAD (DE LA);CALLE;76;ESQ. C/ALIANZA;CTRA VILLA VERDE VAL;UNAMINIDAD (DE LA), CALLE Nº76 ESQ. C/ALIANZA CTRA VILLA VERDE VAL;441922,3;4467924,9;SI;123/;441812,84;4467717,4;-3.6852594;40.3579921
113;;MARQUESINA MOD XXI 5-M STD;CHAMARTIN;PERU;PZA;1;ESQ C/ PRINCIPE DE VERGARA;PRINCIPE VERGARA;PERU, PZA Nº1 ESQ C/ PRINCIPE DE VERGARA PRINCIPE VERGARA;442721,7;4479260,6;SI;51/;442612,3;4479053,11;-3.6768673;40.4601656
