COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES
;contenedor de aceite;;;;Calle  Galileo, 39;;Punto limpio de proximidad - Centro Cultural Galileo;;Calle;;Galileo;número;39;;;07;Chamberí;439737,14;4476140,05;40,43372;-3,7105;Lunes a Viernes 8:30 a 21:30. Sábados y Domingos 9:30 a 20:30.;
;contenedor de aceite;;;;Calle  Concejo de Teverga, 1;;Punto limpio de proximidad - Centro Cultural Lope de Vega;;Calle;;Concejo de Teverga;número;1;;;13;Puente de Vallecas;442995,89;4470873,96;40,38651;-3,67161;Lunes a Viernes 9:00 a 13:30 y de 17:00 a 19:00.;
;contenedor de aceite;;;;Calle  Princesa de Éboli, 29;;Punto limpio de proximidad - Centro Cultural Sanchinarro;;Calle;;Princesa de Éboli;número;29;;;16;Hortaleza;444462,27;4482376,5;40,49023;-3,65534;Lunes a Viernes 9:00 a 22:00. Sábados y Domingos 10:00 a 22:00.;
;contenedor de aceite;;;;Calle  Monseñor Oscar Romero, 41;;Punto limpio de proximidad - Centro Deportivo Municipal La Mina;;Calle;;Monseñor Oscar Romero;número;41;;;11;Carabanchel;436628,76;4470466,57;40,38238;-3,74658;Lunes a Viernes 9:00 a 20:30. Sábados y Domingos  9:00 a 14:30.;
;contenedor de aceite;;;;Calle  Puerto de Reinosa, 2;;Punto limpio de proximidad - Instalación Deportiva Básica Virgen de la Torre;;Calle;;Puerto de Reinosa;número;2;;;18;Villa de Vallecas;447619,64;4469935,59;40,37836;-3,61706;Lunes a Viernes 17:00 a 21:00. Sábados y Domingos 9:00 a 18:00.;
;contenedor de aceite;;;;Plaza  Moncloa, 1;;Punto limpio de proximidad - Junta Municipal de Distrito de Moncloa-Aravaca;;Plaza;;Moncloa;número;1;;;09;Moncloa-Aravaca;439054,11;4476324,29;40,43533;-3,71857;Lunes a Jueves 8:30 a 15:00. Viernes 8:30 a 14:00.;Sábados y Domingos cerrado
;contenedor de aceite;;;;Calle  Alameda, 15;;Punto limpio de proximidad - Medialab-Prado;;Calle;;Alameda;número;15;;;01;Centro;441152,05;4473553,45;40,41052;-3,69358;Lunes 16:00 a 21:00. Martes a Viernes 10:00 a 21:00. Sábados 11:00 a 21:00.;
;contenedor de aceite;;;;Avenida  Asturias, 2;;Mercadillo en la vía pública de avenida de Asturias;;Avenida;;Asturias;número;2;;;6;Tetuán;441487,73;4479809,38;40,4669;-3,6902;Domingos y festivos 9:00 a 14:00;
;contenedor de aceite;;;;Camino  Cruces, 6;;Mercadillo en la vía pública de Camino de las Cruces ;;Camino;;Cruces;número;6;;;11;Carabanchel;435872,81;4469620,45;40,3747;-3,7554;Lunes 9:00 a 14:00;excepto festivos.
;contenedor de aceite;;;;Calle  San Leandro, 9;;Mercadillo en la vía pública de El Pardo ;;Calle;;San Leandro;número;9;;;08;Fuencarral-El Pardo;434290,01;4485530,62;40,5179;-3,7757;Viernes 9:00 a 14:00;
