"i","j","distance","traffic_time","base_time","route_lat","route_long","route_dist","route_time","start_street_side","start_street_name","stop_street_side","stop_street_name"
2,1,441,186,186,40.4108022,-3.7104275,65,43,"left","Calle del Humilladero","left","Calle de Toledo"
2,1,441,186,186,40.4102683,-3.7103212,78,44,"left","Calle del Humilladero","left","Calle de Toledo"
2,1,441,186,186,40.4099357,-3.7095058,163,53,"left","Calle del Humilladero","left","Calle de Toledo"
2,1,441,186,186,40.4111695,-3.7084651,135,46,"left","Calle del Humilladero","left","Calle de Toledo"
2,1,441,186,186,40.4121351,-3.7078643,0,0,"left","Calle del Humilladero","left","Calle de Toledo"
3,1,163,64,64,40.4112554,-3.7086153,19,12,"right","Plaza de la Cebada","left","Calle de Toledo"
3,1,163,64,64,40.4112446,-3.7084866,144,52,"right","Plaza de la Cebada","left","Calle de Toledo"
3,1,163,64,64,40.4121351,-3.7078643,0,0,"right","Plaza de la Cebada","left","Calle de Toledo"
4,1,1147,506,506,40.4202354,-3.7081647,59,31,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.419817,-3.7077892,89,27,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4190981,-3.7073493,48,37,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.418669,-3.7074351,38,15,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4186046,-3.7069952,70,36,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4182398,-3.7075102,60,39,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4183257,-3.7082076,15,4,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4181969,-3.708272,49,18,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4177892,-3.7084758,8,28,"left","Plaza de Santo Domingo","right","Calle de Toledo"
4,1,1147,506,506,40.4178107,-3.7085724,122,40,"left","Plaza de Santo Domingo","right","Calle de Toledo"
